Penny Year, Ave RGB, Ave R, Ave G, Ave B
1979,39.49331999999999,65.08876, 36.57568, 16.81552
1990,115.06691333333333,174.63732, 108.818, 61.74542
2014,101.02754,156.28428, 95.82692, 50.97142
2020,132.2990333333333,192.69364, 125.58578, 78.61768
2009,135.97994,194.3544, 131.3033, 82.28212
1993,68.46430666666667,114.05916, 61.0237, 30.31006
1975,28.22265333333333,55.10612, 21.95732, 7.60452
2021,115.14502666666665,170.85566, 108.87834, 65.70108
2016,85.57612666666667,137.10044, 80.42614, 39.2018
2017,106.46479333333332,159.22404, 102.01068, 58.15966
1996,76.03160666666668,125.82168, 68.29942, 33.97372
2007,92.89941333333333,145.1127, 87.01954, 46.566
1982,27.291680000000003,52.72292, 22.72906, 6.42306
1989,29.53985333333333,54.03786, 25.12222, 9.45948
1963,45.79010666666667,86.99216, 37.00032, 13.37784
2020,102.15155333333333,149.9479, 97.16564, 59.34112
1981,40.325806666666665,69.47986, 36.09214, 15.40542
2021,110.85102666666667,172.4534, 107.4685, 52.63118
2015,113.66874,174.69058, 109.27276, 57.04288
1981,36.84729333333333,69.9288, 29.22742, 11.38566
2017,103.22212666666667,168.89512, 95.78962, 44.98164
1993,36.29889333333333,61.32502, 32.7826, 14.78906
2000,19.697453333333332,39.37844, 14.57168, 5.14224
2014,98.15362666666668,150.54198, 94.61886, 49.30004
2017,124.25044666666668,175.38524, 119.4282, 77.9379
1997,24.490506666666665,40.85148, 22.9754, 9.64464
2010,49.24482666666666,94.06508, 39.403, 14.2664
1975,34.3282,63.05724, 30.86442, 9.06294
2007,59.67812000000001,98.4813, 53.64758, 26.90548
2000,37.15203333333333,70.78464, 30.23198, 10.43948
1999,55.23467333333334,99.49148, 47.57004, 18.6425
1959,29.475506666666664,56.66022, 24.6949, 7.0714
1982,33.13314666666667,57.09714, 31.18016, 11.12214
2016,117.19889333333333,171.01492, 114.3743, 66.20746
1981,36.5561,62.67794, 34.221, 12.76936
1986,30.909239999999997,57.3018, 28.24214, 7.18378
1976,37.54736,64.4386, 34.41114, 13.79234
1983,28.157793333333334,55.99816, 21.3945, 7.08072
1975,37.79647333333333,62.95202, 36.6141, 13.8233
1981,39.01033999999999,66.41734, 35.17198, 15.4417
1966,20.782799999999998,37.9325, 17.91316, 6.50274
2000,70.38837333333333,114.23372, 63.8021, 33.1293
1975,29.232933333333335,54.76986, 26.67152, 6.25742
2005,93.33299333333332,146.55486, 88.27922, 45.1649
2014,101.83658000000001,155.98064, 96.1589, 53.3702
1983,24.504193333333333,42.07634, 21.9223, 9.51394
1996,65.63774,106.39524, 59.0834, 31.43458
2007,97.11063333333334,150.55088, 92.65798, 48.12304
2019,131.07298,186.05408, 127.70208, 79.46278
1980,47.72410666666667,77.36954, 43.152, 22.65078
